CNT,ST004D01T,ST062Q01TA,ST062Q02TA,ST294Q02JA,ST295Q02JA,ST296Q04JA,RELATST,BELONG,PERSEVAGR,CURIOAGR,GROSAGR,FAMSUP,DISCLIM,TEACHSUP,MATHEFF,ANXMAT,MATHPERS,HISCED,HISEI,HOMEPOS,ESCS,top_10_percent
DEU,1.0,1.0,2.0,3.0,3.0,2.0,1.164,0.5159,-0.2101,-0.3413,-0.2269,,-1.0311,1.5558,,0.5653,,3.0,56.0,-0.7684,-1.1606,0
DEU,2.0,1.0,1.0,1.0,4.0,2.0,1.0385,0.1686,0.2623,-0.6608,-1.1252,0.4813,0.6461,-0.1002,2.1598,-0.7358,0.9441,5.0,65.12,2.0322,0.7054,0
DEU,1.0,1.0,1.0,1.0,1.0,1.0,-1.0968,0.3519,-1.0178,0.048,-0.0737,0.304,0.9993,-1.7015,-3.3516,1.2587,-1.6732,8.0,31.08,-1.1321,-0.6005,0
DEU,2.0,1.0,1.0,4.0,4.0,2.0,-0.2467,0.1689,0.1359,0.635,-0.0737,,1.1779,0.1475,-0.6397,-0.7107,2.2506,6.0,81.13,1.1696,0.6424,0
DEU,1.0,1.0,1.0,3.0,4.0,2.0,1.2328,-0.0779,0.0939,-0.217,-0.0737,0.5589,1.0136,0.1475,-0.4352,-0.3744,-0.1091,8.0,53.15,0.2157,0.387,0
DEU,2.0,1.0,1.0,2.0,2.0,4.0,0.9562,1.4683,0.5549,0.4038,0.3085,-0.6062,-0.2865,0.1475,0.1916,-0.5006,0.2876,9.0,66.42,0.8009,0.8854,1
DEU,1.0,1.0,,4.0,4.0,2.0,-0.9612,-0.4747,-0.333,-0.1371,0.7558,-0.9418,-0.6931,-0.5635,-1.6238,0.6647,-0.2631,,,-1.9302,,0
DEU,2.0,1.0,1.0,3.0,4.0,1.0,1.3138,0.7289,-0.5414,-0.0864,-1.024,-0.7842,-0.1126,0.8211,-3.4186,0.1748,-0.4203,,20.95,-0.7547,-1.2851,0
DEU,1.0,1.0,1.0,2.0,6.0,4.0,-1.0251,-0.0437,0.6086,0.3529,0.7558,-0.1754,1.0136,1.5558,-0.1415,1.2595,0.6027,9.0,74.66,0.8435,1.059,0
DEU,2.0,1.0,1.0,6.0,6.0,,-0.6694,-0.4579,0.2795,-0.1616,,,,,,,,,57.03,-0.3455,-0.6443,0
DEU,1.0,1.0,1.0,4.0,4.0,3.0,0.0758,-0.3128,-0.4763,-0.4349,-0.0737,,-0.0691,0.4357,-0.5374,,,6.0,56.0,0.3498,-0.1793,0
DEU,2.0,2.0,1.0,2.0,1.0,1.0,-1.4251,-0.1871,-0.1276,0.1814,1.521,-1.5907,-0.0611,-1.7015,-0.191,-0.638,-0.5835,10.0,,-0.8788,-0.2321,0
DEU,1.0,1.0,2.0,5.0,6.0,3.0,-1.0189,-0.1768,-0.5707,1.5044,0.6206,-0.7306,-0.6963,-0.5635,0.1502,1.3001,-0.1132,1.0,17.0,-0.2533,-2.6943,0
DEU,1.0,2.0,2.0,6.0,6.0,3.0,0.6075,0.3379,-0.2144,-0.1902,0.3361,0.065,-0.5288,0.1475,-0.4352,0.7889,0.3133,3.0,43.76,-0.5585,-1.3028,0
DEU,2.0,1.0,1.0,1.0,2.0,2.0,0.4945,0.5159,-0.3385,-0.6973,-0.2269,-0.0079,-1.0183,-0.3322,0.6943,-0.9755,0.1097,3.0,35.33,-0.8986,-1.6061,0
DEU,2.0,2.0,1.0,5.0,5.0,1.0,-0.6461,0.9434,-0.9521,-1.1052,-0.2863,-0.4428,1.6289,-1.0693,,0.8918,,7.0,56.0,-0.5278,-0.1279,0
DEU,2.0,1.0,1.0,2.0,4.0,2.0,0.1349,0.5453,0.3273,-0.7633,-1.2385,0.8669,0.7487,0.4357,-0.2706,0.133,0.4783,7.0,25.26,0.069,-0.4556,0
DEU,2.0,,,,,,,,,,,,,,,,,,,,,0
DEU,1.0,1.0,1.0,6.0,6.0,3.0,0.5093,0.4722,-0.1873,0.8947,-0.9085,-0.1725,0.7487,-0.5635,0.1502,1.9159,1.9752,9.0,77.1,0.9157,1.1357,1
DEU,2.0,1.0,1.0,1.0,6.0,2.0,0.8482,-0.6438,0.2745,2.0645,1.089,1.5796,-1.3466,-1.3627,1.289,-0.6243,0.4692,8.0,76.65,1.5803,1.4087,1
DEU,1.0,1.0,1.0,6.0,6.0,4.0,-1.1283,-0.7352,-1.0671,-0.8516,0.678,-0.2347,-1.3637,-1.7015,-0.5219,-0.7447,-1.2656,9.0,81.92,0.6157,1.0997,0
DEU,1.0,1.0,1.0,3.0,6.0,3.0,0.6748,0.3567,-0.8329,-0.2487,-0.2546,0.4992,1.8372,0.4357,-0.621,0.3729,0.3488,3.0,,-0.2197,-0.7008,0
DEU,2.0,,,,,,,,,,,,,,,,,,,,,0
DEU,1.0,,,,,,,,,,,,,,,,,,,,,0
DEU,2.0,1.0,1.0,3.0,1.0,1.0,-0.9441,-1.2891,-0.9533,-3.0358,-1.4234,-1.3929,0.6387,0.1475,-0.0701,-1.2756,-0.6442,3.0,31.72,-0.3929,-1.46,1
DEU,2.0,1.0,1.0,6.0,6.0,3.0,-0.9044,-0.2027,0.7503,1.1163,-0.8467,-0.1094,1.0136,-0.8059,-0.209,0.5653,-0.147,5.0,43.51,-1.1088,-1.0329,1
DEU,1.0,1.0,1.0,3.0,5.0,4.0,0.5232,0.1618,-0.6285,0.8874,0.474,-0.2934,-0.1006,-1.0693,2.1326,-0.8218,2.6663,9.0,72.3,1.2202,1.174,0
DEU,1.0,2.0,2.0,1.0,2.0,1.0,-2.0674,0.3379,-1.6615,3.2952,-4.2853,1.8256,-2.4706,-2.9095,-1.5499,2.5026,-0.8159,8.0,81.13,0.9742,1.2366,0
DEU,1.0,1.0,1.0,1.0,5.0,3.0,-0.9364,0.8385,0.0088,-1.0292,-0.339,-1.2074,-0.1499,-0.8059,-0.718,-0.2758,-0.6649,3.0,55.25,-0.4116,-1.0237,0
DEU,1.0,,,4.0,3.0,1.0,-1.5942,-1.322,-0.8173,1.3479,-0.2269,0.3952,0.757,1.5558,-0.721,0.6387,2.3725,,,0.6355,,0
DEU,2.0,1.0,1.0,1.0,5.0,2.0,-0.897,-0.1203,0.6291,0.0528,-1.0753,-0.0528,-0.8883,1.5558,-0.2055,-0.1172,0.1017,8.0,19.41,0.6294,-0.0748,0
DEU,1.0,1.0,1.0,1.0,4.0,,-0.8281,-0.338,,,,-0.5913,,,,-0.2885,,3.0,,0.8994,-0.364,0
DEU,1.0,1.0,1.0,4.0,5.0,6.0,0.7033,2.2967,2.1263,1.8413,0.7708,,0.1997,1.5558,,,,3.0,48.1,-0.0973,-1.0256,0
DEU,1.0,3.0,2.0,3.0,5.0,1.0,0.7185,-0.2623,-0.5102,0.4332,-0.1038,-1.2252,-0.3155,-0.1002,0.1916,-0.3794,0.0978,8.0,53.15,-1.5149,-0.3459,1
DEU,1.0,1.0,1.0,6.0,6.0,3.0,0.5772,-0.4137,-0.0338,-0.1832,-0.7069,-0.1443,0.0926,0.8211,0.457,0.6566,1.3201,3.0,54.92,0.8994,-0.4746,0
DEU,1.0,,,,,,,,,,,,,,,,,,,,,0
